Refs,Link,MPN,Populated,datasheet,footprint,value
ANT1,https://www.digikey.com/product-detail/en/amphenol-rf-division/A-1JB/ARF1579CT-ND/1196264,A-1JB,,,beaglephone-pocket:A-1JB,A-1JB
"C1, C9",https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R71C104KA88J/490-6328-1-ND/3845525,GRM155R71C104KA88J,Y,,Capacitors_SMD:C_0402,100n
"C4, C12",https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R60J226MEA0D/490-7611-1-ND/4280544,GRM188R60J226MEA0D,Y,,Capacitors_SMD:C_0603,22U
C15,NULL,NULL,N,,Capacitors_SMD:C_0402,NOPE
C16,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL05B104KO5NNNC/1276-1001-1-ND/3889087,CL05B104KO5NNNC,,,Capacitors_SMD:C_0402,0.1U
C17-C20,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H470JA01D/490-5942-1-ND/3721299,GRM1555C1H470JA01,,,Capacitors_SMD:C_0402,47p
"C2, C7",,,,,Capacitors_SMD:C_0402,C
"C3, C22",https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A226MOCLRNC/1276-6780-1-ND/5961639,CL21A226MOCLRNC,Y,,Capacitors_SMD:C_0805,22U
C23,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H100JA01D/490-5921-1-ND/3721278,GRM1555C1H100JA01D,,,Capacitors_SMD:C_0402,10n
C24,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM155R71C104KA88J/490-6328-1-ND/3845525,GRM155R71C104KA88J,,,Capacitors_SMD:C_0402,100n
C25,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1555C1H560JA01D/490-1288-1-ND/587890,GRM1555C1H560JA01D,,,Capacitors_SMD:C_0402,56p
C26,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GJM1555C1H150JB01D/490-3117-1-ND/702383,GJM1555C1H150JB01D,,,Capacitors_SMD:C_0402,15p
